la_name,phase_type_grouping,primary_need,number_of_pupils,pupil_gender_boys,pupil_gender_girls
Stockton-on-Tees,State-funded special school,Multi- Sensory Impairment,2,1,1
Stockton-on-Tees,State-funded special school,Other Difficulty/Disability,1,1,0
Stockton-on-Tees,State-funded special school,Physical Disability,21,13,8
Stockton-on-Tees,State-funded special school,Profound & Multiple Learning Difficulty,26,16,10
Stockton-on-Tees,State-funded special school,Severe Learning Difficulty,101,60,41
Stockton-on-Tees,State-funded special school,"Social, Emotional and Mental Health",112,98,14
Stockton-on-Tees,State-funded special school,Specific Learning Difficulty,16,7,9
Stockton-on-Tees,State-funded special school,"Speech, Language and Communications needs",111,89,22
Stockton-on-Tees,State-funded special school,Visual Impairment,4,1,3
Darlington,State-funded AP school,Autistic Spectrum Disorder,1,1,0
Darlington,State-funded AP school,SEN support but no specialist assessment of type of need,1,0,1
Darlington,State-funded AP school,"Social, Emotional and Mental Health",30,22,8
Darlington,State-funded AP school,Specific Learning Difficulty,1,0,1
Darlington,State-funded AP school,"Speech, Language and Communications needs",3,1,2
Darlington,State-funded nursery,Autistic Spectrum Disorder,3,3,0
Darlington,State-funded nursery,Moderate Learning Difficulty,1,0,1
Darlington,State-funded nursery,Physical Disability,7,5,2
Darlington,State-funded nursery,Profound & Multiple Learning Difficulty,2,1,1
Darlington,State-funded nursery,"Social, Emotional and Mental Health",1,1,0
Darlington,State-funded nursery,"Speech, Language and Communications needs",13,8,5
Darlington,State-funded primary,Autistic Spectrum Disorder,174,146,28
Darlington,State-funded primary,Hearing Impairment,12,5,7
Darlington,State-funded primary,Moderate Learning Difficulty,271,166,105
Darlington,State-funded primary,Multi- Sensory Impairment,7,6,1
Darlington,State-funded primary,Other Difficulty/Disability,13,7,6
Darlington,State-funded primary,Physical Disability,33,21,12
Darlington,State-funded primary,Profound & Multiple Learning Difficulty,5,3,2
Darlington,State-funded primary,SEN support but no specialist assessment of type of need,47,28,19
Darlington,State-funded primary,Severe Learning Difficulty,3,2,1
Darlington,State-funded primary,"Social, Emotional and Mental Health",280,190,90
Darlington,State-funded primary,Specific Learning Difficulty,144,72,72
Darlington,State-funded primary,"Speech, Language and Communications needs",469,341,128
Darlington,State-funded primary,Visual Impairment,8,4,4
Darlington,State-funded secondary,Autistic Spectrum Disorder,171,130,41
Darlington,State-funded secondary,Hearing Impairment,26,15,11
Darlington,State-funded secondary,Moderate Learning Difficulty,249,150,99
Darlington,State-funded secondary,Multi- Sensory Impairment,3,2,1
Darlington,State-funded secondary,Other Difficulty/Disability,30,16,14
Darlington,State-funded secondary,Physical Disability,22,16,6
Darlington,State-funded secondary,SEN support but no specialist assessment of type of need,105,60,45
Darlington,State-funded secondary,Severe Learning Difficulty,1,1,0
Darlington,State-funded secondary,"Social, Emotional and Mental Health",236,172,64
Darlington,State-funded secondary,Specific Learning Difficulty,129,72,57
Darlington,State-funded secondary,"Speech, Language and Communications needs",105,79,26
Darlington,State-funded secondary,Visual Impairment,14,8,6
Darlington,State-funded special school,Autistic Spectrum Disorder,148,122,26
Darlington,State-funded special school,Moderate Learning Difficulty,61,41,20
Darlington,State-funded special school,Other Difficulty/Disability,1,1,0
Darlington,State-funded special school,Physical Disability,10,5,5
Darlington,State-funded special school,Profound & Multiple Learning Difficulty,21,10,11
Darlington,State-funded special school,Severe Learning Difficulty,15,10,5
Darlington,State-funded special school,"Social, Emotional and Mental Health",42,40,2
Darlington,State-funded special school,Specific Learning Difficulty,7,5,2
Darlington,State-funded special school,"Speech, Language and Communications needs",32,25,7
Darlington,State-funded special school,Visual Impairment,2,1,1
County Durham,State-funded AP school,Autistic Spectrum Disorder,3,3,0
County Durham,State-funded AP school,Moderate Learning Difficulty,2,2,0
County Durham,State-funded AP school,"Social, Emotional and Mental Health",86,49,37
County Durham,State-funded AP school,"Speech, Language and Communications needs",1,0,1
County Durham,State-funded nursery,Autistic Spectrum Disorder,24,18,6
County Durham,State-funded nursery,Hearing Impairment,1,0,1
County Durham,State-funded nursery,Moderate Learning Difficulty,6,3,3
County Durham,State-funded nursery,Other Difficulty/Disability,2,2,0
County Durham,State-funded nursery,Physical Disability,3,2,1
County Durham,State-funded nursery,Profound & Multiple Learning Difficulty,5,3,2
County Durham,State-funded nursery,SEN support but no specialist assessment of type of need,5,4,1
County Durham,State-funded nursery,Severe Learning Difficulty,1,0,1
County Durham,State-funded nursery,"Social, Emotional and Mental Health",11,8,3
County Durham,State-funded nursery,"Speech, Language and Communications needs",32,27,5
County Durham,State-funded nursery,Visual Impairment,2,2,0
County Durham,State-funded primary,Autistic Spectrum Disorder,749,564,185
County Durham,State-funded primary,Hearing Impairment,54,34,20
County Durham,State-funded primary,Moderate Learning Difficulty,1836,1057,779
County Durham,State-funded primary,Multi- Sensory Impairment,42,35,7
County Durham,State-funded primary,Other Difficulty/Disability,323,212,111
County Durham,State-funded primary,Physical Disability,173,105,68
County Durham,State-funded primary,Profound & Multiple Learning Difficulty,33,19,14
County Durham,State-funded primary,SEN support but no specialist assessment of type of need,177,96,81
County Durham,State-funded primary,Severe Learning Difficulty,47,24,23
County Durham,State-funded primary,"Social, Emotional and Mental Health",1315,931,384
County Durham,State-funded primary,Specific Learning Difficulty,467,280,187
County Durham,State-funded primary,"Speech, Language and Communications needs",2213,1519,694
County Durham,State-funded primary,Visual Impairment,39,22,17
County Durham,State-funded secondary,Autistic Spectrum Disorder,721,541,180
County Durham,State-funded secondary,Hearing Impairment,58,23,35
County Durham,State-funded secondary,Moderate Learning Difficulty,1168,705,463
County Durham,State-funded secondary,Multi- Sensory Impairment,9,6,3
County Durham,State-funded secondary,Other Difficulty/Disability,267,170,97
County Durham,State-funded secondary,Physical Disability,103,62,41
County Durham,State-funded secondary,Profound & Multiple Learning Difficulty,10,6,4
County Durham,State-funded secondary,SEN support but no specialist assessment of type of need,149,87,62
County Durham,State-funded secondary,Severe Learning Difficulty,10,6,4
County Durham,State-funded secondary,"Social, Emotional and Mental Health",1064,667,397
County Durham,State-funded secondary,Specific Learning Difficulty,466,260,206
County Durham,State-funded secondary,"Speech, Language and Communications needs",410,280,130
County Durham,State-funded secondary,Visual Impairment,37,20,17
County Durham,State-funded special school,Autistic Spectrum Disorder,794,627,167
County Durham,State-funded special school,Hearing Impairment,2,1,1
County Durham,State-funded special school,Moderate Learning Difficulty,136,83,53
County Durham,State-funded special school,Other Difficulty/Disability,7,4,3
County Durham,State-funded special school,Physical Disability,7,5,2
County Durham,State-funded special school,Profound & Multiple Learning Difficulty,94,55,39
County Durham,State-funded special school,Severe Learning Difficulty,301,175,126
County Durham,State-funded special school,"Social, Emotional and Mental Health",280,247,33
County Durham,State-funded special school,Specific Learning Difficulty,13,8,5
County Durham,State-funded special school,"Speech, Language and Communications needs",36,26,10
County Durham,State-funded special school,Visual Impairment,1,0,1
Northumberland,State-funded AP school,Moderate Learning Difficulty,2,1,1
Northumberland,State-funded AP school,Physical Disability,1,0,1
Northumberland,State-funded AP school,SEN support but no specialist assessment of type of need,10,5,5
Northumberland,State-funded AP school,"Social, Emotional and Mental Health",4,3,1
Northumberland,State-funded AP school,"Speech, Language and Communications needs",3,3,0
Northumberland,State-funded primary,Autistic Spectrum Disorder,330,255,75
Northumberland,State-funded primary,Hearing Impairment,47,18,29
Northumberland,State-funded primary,Moderate Learning Difficulty,622,342,280
Northumberland,State-funded primary,Multi- Sensory Impairment,15,11,4
Northumberland,State-funded primary,Other Difficulty/Disability,55,38,17
Northumberland,State-funded primary,Physical Disability,88,43,45
Northumberland,State-funded primary,Profound & Multiple Learning Difficulty,4,1,3
Northumberland,State-funded primary,SEN support but no specialist assessment of type of need,71,40,31
Northumberland,State-funded primary,Severe Learning Difficulty,10,5,5
Northumberland,State-funded primary,"Social, Emotional and Mental Health",966,684,282
Northumberland,State-funded primary,Specific Learning Difficulty,247,131,116
Northumberland,State-funded primary,"Speech, Language and Communications needs",1507,1039,468
Northumberland,State-funded primary,Visual Impairment,31,18,13
Northumberland,State-funded secondary,Autistic Spectrum Disorder,411,278,133
Northumberland,State-funded secondary,Hearing Impairment,77,39,38
Northumberland,State-funded secondary,Moderate Learning Difficulty,599,353,246
Northumberland,State-funded secondary,Multi- Sensory Impairment,3,2,1
Northumberland,State-funded secondary,Other Difficulty/Disability,67,43,24
Northumberland,State-funded secondary,Physical Disability,114,71,43
Northumberland,State-funded secondary,Profound & Multiple Learning Difficulty,2,2,0
Northumberland,State-funded secondary,SEN support but no specialist assessment of type of need,19,14,5
Northumberland,State-funded secondary,Severe Learning Difficulty,3,2,1
Northumberland,State-funded secondary,"Social, Emotional and Mental Health",876,589,287
Northumberland,State-funded secondary,Specific Learning Difficulty,348,192,156
Northumberland,State-funded secondary,"Speech, Language and Communications needs",419,290,129
Northumberland,State-funded secondary,Visual Impairment,52,29,23
Northumberland,State-funded special school,Autistic Spectrum Disorder,366,297,69
Northumberland,State-funded special school,Hearing Impairment,2,2,0
Northumberland,State-funded special school,Moderate Learning Difficulty,72,50,22
Northumberland,State-funded special school,Other Difficulty/Disability,18,12,6
Northumberland,State-funded special school,Physical Disability,27,17,10
Northumberland,State-funded special school,Profound & Multiple Learning Difficulty,52,27,25
Northumberland,State-funded special school,Severe Learning Difficulty,176,125,51
Northumberland,State-funded special school,"Social, Emotional and Mental Health",287,232,55
Northumberland,State-funded special school,Specific Learning Difficulty,35,22,13
Northumberland,State-funded special school,"Speech, Language and Communications needs",192,133,59
Northumberland,State-funded special school,Visual Impairment,2,2,0
Newcastle upon Tyne,Non-maintained special school,Autistic Spectrum Disorder,61,49,12
Newcastle upon Tyne,Non-maintained special school,Hearing Impairment,10,5,5
Newcastle upon Tyne,Non-maintained special school,Moderate Learning Difficulty,2,0,2
Newcastle upon Tyne,Non-maintained special school,Physical Disability,1,1,0
Newcastle upon Tyne,Non-maintained special school,Profound & Multiple Learning Difficulty,12,6,6
Newcastle upon Tyne,Non-maintained special school,Severe Learning Difficulty,11,9,2
Newcastle upon Tyne,Non-maintained special school,"Social, Emotional and Mental Health",24,19,5
Newcastle upon Tyne,Non-maintained special school,Specific Learning Difficulty,1,1,0
Newcastle upon Tyne,Non-maintained special school,Visual Impairment,1,1,0
Newcastle upon Tyne,State-funded AP school,Autistic Spectrum Disorder,13,7,6
Newcastle upon Tyne,State-funded AP school,Moderate Learning Difficulty,6,3,3
Newcastle upon Tyne,State-funded AP school,Other Difficulty/Disability,2,0,2
Newcastle upon Tyne,State-funded AP school,Physical Disability,1,1,0
Newcastle upon Tyne,State-funded AP school,SEN support but no specialist assessment of type of need,2,2,0
Newcastle upon Tyne,State-funded AP school,"Social, Emotional and Mental Health",49,35,14
Newcastle upon Tyne,State-funded AP school,Specific Learning Difficulty,5,5,0
Newcastle upon Tyne,State-funded AP school,"Speech, Language and Communications needs",1,1,0
Newcastle upon Tyne,State-funded AP school,Visual Impairment,1,0,1
Newcastle upon Tyne,State-funded nursery,Autistic Spectrum Disorder,1,1,0
Newcastle upon Tyne,State-funded nursery,Moderate Learning Difficulty,4,4,0
Newcastle upon Tyne,State-funded nursery,Other Difficulty/Disability,1,0,1
Newcastle upon Tyne,State-funded nursery,"Social, Emotional and Mental Health",6,5,1
Newcastle upon Tyne,State-funded nursery,"Speech, Language and Communications needs",53,37,16
Newcastle upon Tyne,State-funded primary,Autistic Spectrum Disorder,456,341,115
Newcastle upon Tyne,State-funded primary,Hearing Impairment,64,31,33
Newcastle upon Tyne,State-funded primary,Moderate Learning Difficulty,588,330,258
Newcastle upon Tyne,State-funded primary,Multi- Sensory Impairment,21,8,13
Newcastle upon Tyne,State-funded primary,Other Difficulty/Disability,66,34,32
Newcastle upon Tyne,State-funded primary,Physical Disability,90,49,41
Newcastle upon Tyne,State-funded primary,Profound & Multiple Learning Difficulty,1,1,0
Newcastle upon Tyne,State-funded primary,SEN support but no specialist assessment of type of need,57,38,19
Newcastle upon Tyne,State-funded primary,Severe Learning Difficulty,8,4,4
Newcastle upon Tyne,State-funded primary,"Social, Emotional and Mental Health",641,466,175
Newcastle upon Tyne,State-funded primary,Specific Learning Difficulty,217,125,92
Newcastle upon Tyne,State-funded primary,"Speech, Language and Communications needs",1546,1084,462
Newcastle upon Tyne,State-funded primary,Visual Impairment,28,14,14
Newcastle upon Tyne,State-funded secondary,Autistic Spectrum Disorder,366,254,112
Newcastle upon Tyne,State-funded secondary,Hearing Impairment,74,31,43
Newcastle upon Tyne,State-funded secondary,Moderate Learning Difficulty,523,307,216
Newcastle upon Tyne,State-funded secondary,Multi- Sensory Impairment,4,3,1
Newcastle upon Tyne,State-funded secondary,Other Difficulty/Disability,39,20,19
Newcastle upon Tyne,State-funded secondary,Physical Disability,59,33,26
Newcastle upon Tyne,State-funded secondary,Profound & Multiple Learning Difficulty,3,2,1
Newcastle upon Tyne,State-funded secondary,SEN support but no specialist assessment of type of need,31,21,10
Newcastle upon Tyne,State-funded secondary,Severe Learning Difficulty,17,9,8
Newcastle upon Tyne,State-funded secondary,"Social, Emotional and Mental Health",526,342,184
Newcastle upon Tyne,State-funded secondary,Specific Learning Difficulty,473,244,229
Newcastle upon Tyne,State-funded secondary,"Speech, Language and Communications needs",358,251,107
Newcastle upon Tyne,State-funded secondary,Visual Impairment,40,15,25
Newcastle upon Tyne,State-funded special school,Autistic Spectrum Disorder,327,253,74
Newcastle upon Tyne,State-funded special school,Moderate Learning Difficulty,8,6,2
Newcastle upon Tyne,State-funded special school,Other Difficulty/Disability,4,3,1
Newcastle upon Tyne,State-funded special school,Physical Disability,4,2,2
Newcastle upon Tyne,State-funded special school,Profound & Multiple Learning Difficulty,33,22,11
Newcastle upon Tyne,State-funded special school,Severe Learning Difficulty,327,202,125
Newcastle upon Tyne,State-funded special school,"Social, Emotional and Mental Health",151,137,14
Newcastle upon Tyne,State-funded special school,Specific Learning Difficulty,5,4,1
Newcastle upon Tyne,State-funded special school,"Speech, Language and Communications needs",19,19,0
Newcastle upon Tyne,State-funded special school,Visual Impairment,1,1,0
North Tyneside,Non-maintained special school,Autistic Spectrum Disorder,31,26,5
North Tyneside,Non-maintained special school,Hearing Impairment,1,1,0
North Tyneside,Non-maintained special school,Moderate Learning Difficulty,2,0,2
North Tyneside,Non-maintained special school,Other Difficulty/Disability,1,1,0
North Tyneside,Non-maintained special school,Physical Disability,37,26,11
North Tyneside,Non-maintained special school,Profound & Multiple Learning Difficulty,20,14,6
North Tyneside,Non-maintained special school,Severe Learning Difficulty,10,8,2
North Tyneside,Non-maintained special school,"Social, Emotional and Mental Health",5,4,1
North Tyneside,Non-maintained special school,"Speech, Language and Communications needs",50,38,12
North Tyneside,State-funded AP school,Autistic Spectrum Disorder,9,7,2
North Tyneside,State-funded AP school,Hearing Impairment,1,1,0
North Tyneside,State-funded AP school,Moderate Learning Difficulty,6,5,1
North Tyneside,State-funded AP school,Other Difficulty/Disability,7,1,6
North Tyneside,State-funded AP school,SEN support but no specialist assessment of type of need,27,7,20
North Tyneside,State-funded AP school,"Social, Emotional and Mental Health",98,59,39
North Tyneside,State-funded AP school,Specific Learning Difficulty,6,5,1
North Tyneside,State-funded AP school,"Speech, Language and Communications needs",11,9,2
North Tyneside,State-funded nursery,Moderate Learning Difficulty,1,0,1
North Tyneside,State-funded nursery,Profound & Multiple Learning Difficulty,1,1,0
North Tyneside,State-funded nursery,Severe Learning Difficulty,3,2,1
North Tyneside,State-funded primary,Autistic Spectrum Disorder,133,102,31
North Tyneside,State-funded primary,Hearing Impairment,23,9,14
North Tyneside,State-funded primary,Moderate Learning Difficulty,138,81,57
North Tyneside,State-funded primary,Multi- Sensory Impairment,7,5,2
North Tyneside,State-funded primary,Other Difficulty/Disability,147,79,68
North Tyneside,State-funded primary,Physical Disability,54,36,18
North Tyneside,State-funded primary,SEN support but no specialist assessment of type of need,32,21,11
North Tyneside,State-funded primary,Severe Learning Difficulty,4,3,1
North Tyneside,State-funded primary,"Social, Emotional and Mental Health",532,396,136
North Tyneside,State-funded primary,Specific Learning Difficulty,230,121,109
North Tyneside,State-funded primary,"Speech, Language and Communications needs",1308,861,447
North Tyneside,State-funded primary,Visual Impairment,16,10,6
North Tyneside,State-funded secondary,Autistic Spectrum Disorder,214,161,53
North Tyneside,State-funded secondary,Hearing Impairment,33,12,21
North Tyneside,State-funded secondary,Moderate Learning Difficulty,124,70,54
North Tyneside,State-funded secondary,Multi- Sensory Impairment,1,1,0
North Tyneside,State-funded secondary,Other Difficulty/Disability,131,76,55
North Tyneside,State-funded secondary,Physical Disability,41,26,15
North Tyneside,State-funded secondary,SEN support but no specialist assessment of type of need,6,5,1
North Tyneside,State-funded secondary,"Social, Emotional and Mental Health",528,331,197
North Tyneside,State-funded secondary,Specific Learning Difficulty,441,234,207
North Tyneside,State-funded secondary,"Speech, Language and Communications needs",348,245,103
North Tyneside,State-funded secondary,Visual Impairment,15,6,9
North Tyneside,State-funded special school,Autistic Spectrum Disorder,293,245,48
North Tyneside,State-funded special school,Hearing Impairment,5,2,3
North Tyneside,State-funded special school,Moderate Learning Difficulty,88,59,29
North Tyneside,State-funded special school,Multi- Sensory Impairment,2,1,1
North Tyneside,State-funded special school,Other Difficulty/Disability,13,6,7
